2025-04-20 14:58:37 Epoch 1, Batch 1330/159621, Loss: 0.4158
2025-04-20 14:58:38 Epoch 1, Batch 1340/159621, Loss: 0.7968
2025-04-20 14:58:38 Epoch 1, Batch 1350/159621, Loss: 0.6620
2025-04-20 14:58:39 Epoch 1, Batch 1360/159621, Loss: 0.2204
2025-04-20 14:58:39 Epoch 1, Batch 1370/159621, Loss: 0.2625
2025-04-20 14:58:39 Epoch 1, Batch 1380/159621, Loss: 0.3834
2025-04-20 14:58:40 Epoch 1, Batch 1390/159621, Loss: 0.2754
2025-04-20 14:58:40 Epoch 1, Batch 1400/159621, Loss: 0.3304
2025-04-20 14:58:41 Epoch 1, Batch 1410/159621, Loss: 0.1657
2025-04-20 14:58:41 Epoch 1, Batch 1420/159621, Loss: 0.2464
2025-04-20 14:58:41 Epoch 1, Batch 1430/159621, Loss: 0.2990
2025-04-20 14:58:42 Epoch 1, Batch 1440/159621, Loss: 0.2369
2025-04-20 14:58:42 Epoch 1, Batch 1450/159621, Loss: 0.3969
2025-04-20 14:58:42 Epoch 1, Batch 1460/159621, Loss: 0.2177
2025-04-20 14:58:43 Epoch 1, Batch 1470/159621, Loss: 0.3756
2025-04-20 14:58:43 Epoch 1, Batch 1480/159621, Loss: 0.3168
2025-04-20 14:58:44 Epoch 1, Batch 1490/159621, Loss: 0.6977
2025-04-20 14:58:44 Epoch 1, Batch 1500/159621, Loss: 0.4659
2025-04-20 14:58:44 Epoch 1, Batch 1510/159621, Loss: 0.2279
2025-04-20 14:58:45 Epoch 1, Batch 1520/159621, Loss: 0.4609
2025-04-20 14:58:45 Epoch 1, Batch 1530/159621, Loss: 0.2726
2025-04-20 14:58:45 Epoch 1, Batch 1540/159621, Loss: 0.2666
2025-04-20 14:58:46 Epoch 1, Batch 1550/159621, Loss: 0.2483
2025-04-20 14:58:46 Epoch 1, Batch 1560/159621, Loss: 0.5739
2025-04-20 14:58:47 Epoch 1, Batch 1570/159621, Loss: 0.5076
2025-04-20 14:58:47 Epoch 1, Batch 1580/159621, Loss: 0.3459
2025-04-20 14:58:47 Epoch 1, Batch 1590/159621, Loss: 0.2847
2025-04-20 14:58:48 Epoch 1, Batch 1600/159621, Loss: 0.3149
2025-04-20 14:58:48 Epoch 1, Batch 1610/159621, Loss: 0.5328
2025-04-20 14:58:48 Epoch 1, Batch 1620/159621, Loss: 0.3693
2025-04-20 14:58:49 Epoch 1, Batch 1630/159621, Loss: 0.2798
2025-04-20 14:58:49 Epoch 1, Batch 1640/159621, Loss: 0.3161
2025-04-20 14:58:49 Epoch 1, Batch 1650/159621, Loss: 0.4100
2025-04-20 14:58:50 Epoch 1, Batch 1660/159621, Loss: 0.4194
2025-04-20 14:58:50 Epoch 1, Batch 1670/159621, Loss: 0.2418
2025-04-20 14:58:51 Epoch 1, Batch 1680/159621, Loss: 0.2211
2025-04-20 14:58:51 Epoch 1, Batch 1690/159621, Loss: 0.5236
2025-04-20 14:58:51 Epoch 1, Batch 1700/159621, Loss: 0.4653
2025-04-20 14:58:52 Epoch 1, Batch 1710/159621, Loss: 0.6176
2025-04-20 14:58:52 Epoch 1, Batch 1720/159621, Loss: 0.5977
2025-04-20 14:58:52 Epoch 1, Batch 1730/159621, Loss: 0.3514
2025-04-20 14:58:53 Epoch 1, Batch 1740/159621, Loss: 0.1157
2025-04-20 14:58:53 Epoch 1, Batch 1750/159621, Loss: 0.3044
2025-04-20 14:58:54 Epoch 1, Batch 1760/159621, Loss: 0.2517
2025-04-20 14:58:54 Epoch 1, Batch 1770/159621, Loss: 0.1814
2025-04-20 14:58:54 Epoch 1, Batch 1780/159621, Loss: 0.4990
2025-04-20 14:58:55 Epoch 1, Batch 1790/159621, Loss: 0.1515
2025-04-20 14:58:55 Epoch 1, Batch 1800/159621, Loss: 0.5554
2025-04-20 14:58:55 Epoch 1, Batch 1810/159621, Loss: 0.3988
2025-04-20 14:58:56 Epoch 1, Batch 1820/159621, Loss: 0.5635
2025-04-20 14:58:56 Epoch 1, Batch 1830/159621, Loss: 0.3369
2025-04-20 14:58:57 Epoch 1, Batch 1840/159621, Loss: 0.3640
2025-04-20 14:58:57 Epoch 1, Batch 1850/159621, Loss: 0.2293
2025-04-20 14:58:57 Epoch 1, Batch 1860/159621, Loss: 0.3810
2025-04-20 14:58:58 Epoch 1, Batch 1870/159621, Loss: 0.2851
